Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
I want to know the status of my transaction,5,I suppose more details would have been nice so I understood what happened or just to have more assurance.,4089,"Billing, Payments & Sales",Billing & Payment Issues,Miscommunication,Feedback,Neutral,Other,Process,Lack of detailed explanation and assurance regarding transaction status,Communication,Low,Low,Inconvenience,0.9,Sales & Product
Question about package/plan and how to purchase,1,A diplomatic answer to why YouTube cancel my premium subscriptions. Nothing has been resolved.,4091,Subscriptions & Memberships,Plan Management (Family/Student),Miscommunication,Complaint,Negative,Disappointment,People,Vague or non-committal agent response regarding account status,Resolution,High,Medium,Trust Loss,0.9,Sales & Product
I want to ask about family plan abuse,1,Not solved,4093,Subscriptions & Memberships,Policy & Enforcement,Other,Complaint,Negative,Frustration,Unknown,Support interaction ended without a resolution,Resolution,High,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,You have not provided the solution,4094,Customer Support Experience,App Features & Navigation,Other,Complaint,Negative,Frustration,Unknown,Lack of actionable solution provided by support,Resolution,High,Medium,Inconvenience,0.85,Support & QA
I want to ask about family plan abuse,1,Youtube premium family plan is a very terrible service and i am disappointed with the fact that google and youtube are tracking my information and IP. this is disturbing and i will be making sure others do not sign up for youtube premium subscriptions.,4096,Account Management & Security,Privacy & Data,Other,Complaint,Negative,Anger,Policy,Customer dissatisfaction with data collection and IP tracking policies for premium plans,Product Design,High,Low,Trust Loss,0.9,Policy & Brand
Form of payment question or issue,1,You guys don’t even have a system to talk to users properly. There is so poor management i would suggest to give this company to some other management,4098,Customer Support Experience,Support Processes & Friction,UX Issue,Complaint,Negative,Frustration,People,Perceived lack of effective communication channels and poor management of user interactions,Support Access,Medium,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,Wrong location,4100,Account Management & Security,Content Availability,Other,Complaint,Negative,Frustration,Technical,Incorrect location data or detection,Service Delivery,Medium,Medium,Inconvenience,0.7,Policy & Brand
I want to ask about family plan abuse,1,No supportive will go social,4101,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Anger,People,Inadequate support resolution and lack of empathy,Support Interaction,High,High,Trust Loss,0.85,Support & QA
Question about package/plan and how to purchase,2,"They couldn't really help me and just told me to send an email to the appeals team rather than just ask me for proof I'm indian and help directly; they also said there's no timeline for the appeals process. I've been paying for youtube for so long and today I suddenly have ads again, and no immediate action from support.",4103,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Frustration,Process,Inefficient appeals process and lack of immediate support resolution,Support Interaction,High,High,Delay,0.9,Sales & Product
Question or issue with core / main features,5,"It does not feel like the Feedback is taken seriously. I have been redirected to the form within the Youtube app, that feels kinda cheap.",4107,General Feedback & Brand,General Feedback,UX Issue,Feedback,Negative,Disappointment,Process,Impersonal and automated feedback loops that diminish customer value,Engagement,Low,Low,Trust Loss,0.88,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Bad Support,4110,Cancellations & Refunds,Cancellations,Other,Complaint,Negative,Disappointment,People,General dissatisfaction with support quality during cancellation process,Support Interaction,Medium,High,Inconvenience,0.7,Support & QA
Student plan question or issue,2,I couldn't figure out where to upload my enrollment certificate to maintain my premium student status.,4112,Subscriptions & Memberships,Plan Management (Family/Student),UX Issue,Complaint,Negative,Confusion,Product,Unclear user interface for document upload,Self-Service,Medium,High,Inconvenience,0.9,Sales & Product
Question about package/plan and how to purchase,1,"Customer specialist deliberately avoid recognition of the problem, and once it was proven he get rid of me by saying I need to report in another system.",4113,"Billing, Payments & Sales",Plan Management (Individual),Miscommunication,Complaint,Negative,Anger,People,Agent avoidance and improper redirection to other systems,Support Interaction,High,High,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,4,Service was good. Product is misleading and predatory. Hope y'all go bankrupt,4117,General Feedback & Brand,General Feedback,Other,Feedback,Negative,Anger,Policy,Perceived predatory or misleading product structure despite good service interaction,Product Usage,High,Low,Trust Loss,0.88,Policy & Brand
I want to cancel subscription,1,"Hello, I have been a loyal subscriber for more than two years, and I truly value the service. I am not sure what is happening now, but I kindly ask for your support to reactivate my account and allow me to continue paying as I have always done. I would greatly appreciate your help in resolving this matter",4118,Subscriptions & Memberships,Plan Management (Individual),System Failure,Query,Neutral,Disappointment,Technical,Unintended account deactivation or billing system error for a long-term subscriber,Account Management,Medium,Medium,Financial Impact,0.9,Sales & Product
Question about package/plan and how to purchase,1,Bad,4121,General Feedback & Brand,General Feedback,Other,Complaint,Negative,Disappointment,Unknown,Unknown,Unknown,Medium,Unknown,Unknown,0.5,Policy & Brand
Form of payment question or issue,1,The worst possible customer care I ever had in 26 years of my existence.,4122,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,Perceived poor quality of customer care interaction.,Support Interaction,High,Unknown,Trust Loss,0.8,Support & QA
Non-SUJ identified issues,1,"I didn’t get a solution to my problem, I still can’t access my payment page as it’s still saying offer isn’t available, I’m in Nigeria, I don’t use VPN. So I don’t know what’s going on.  I can’t join another family, had to delete my channel because I can’t use the particular without premium.",4123,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Complaint,Negative,Confusion,Technical,"System incorrectly identifying user location or eligibility, preventing access to payment pages and family plans.",Product Usage,Critical,High,Financial Impact,0.9,Sales & Product
Non-SUJ identified issues,2,Major problem with auto-dubbing. No way to disable it.,4126,Product Features & Content,Playback & Streaming,UX Issue,Feedback,Negative,Frustration,Product,Lack of user-facing toggle or setting to disable auto-dubbing feature,Usage,Medium,Medium,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,1,"They never responded to me, they didn't solve anything.",4127,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Disappointment,Process,Failure of the support team to acknowledge or respond to a family plan inquiry,Support,Medium,High,Trust Loss,0.85,Support & QA
I want to ask about family plan abuse,1,NOT HELPING AT ALL !!!!!,4128,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Support interaction failed to provide a helpful resolution or guidance,Support,Medium,High,Inconvenience,0.8,Support & QA
Question or issue with shorts,1,Don't show me thos gay  aap ad's again don't show me,4129,Advertising & Promotions,Ad Experience,UX Issue,Complaint,Negative,Frustration,Technical,Ad targeting algorithm serving content perceived as irrelevant or unwanted by the user,Usage,Low,Low,Inconvenience,0.85,Sales & Product
Game availability and embargoes,2,<<GSP_REDACTED>>,4130,Product Features & Content,General Feedback,Other,Unknown,Neutral,Other,Unknown,Data Redacted,Unknown,Low,Unknown,Unknown,0.1,Policy & Brand
Non-SUJ identified issues,1,The problem has not been solved.,4132,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Process,Failure to resolve customer issue during initial contact,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,I have active membership but still don’t work no one was able to help.,4133,Subscriptions & Memberships,Premium Benefits & Access,Technical,Complaint,Negative,Frustration,Technical,Active membership not recognized by the system,Usage,High,High,Financial Impact,0.9,Sales & Product
Non-SUJ identified issues,1,very good,4136,General Feedback & Brand,General Feedback,Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.9,Policy & Brand
I want to cancel subscription,1,"Didn't help me in anyway possible, just wasted my time though long processes.",4141,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Complaint,Negative,Frustration,Process,Inefficient and overly complex support workflows for cancellation,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
I want to join or start a family plan,1,This is extremely sad and too bad my problem went away without being resolved.,4145,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Premature closure of support ticket without resolution,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
I want to join or start a family plan,2,He didn't answer my central question.,4149,Subscriptions & Memberships,Plan Management (Individual),Miscommunication,Complaint,Negative,Confusion,People,Agent failed to address the primary customer query,Interaction,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,Very poor customer policies,4150,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,Policy,Dissatisfaction with family plan abuse prevention or eligibility policies,Policy Design,Medium,Unknown,Trust Loss,0.85,Sales & Product
Non-SUJ identified issues,1,N resolution.,4152,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Frustration,Process,Failure to provide a resolution for the reported issue,Resolution,Medium,Medium,Inconvenience,0.75,Support & QA
I want to know the status of my transaction,1,Came late and her fix didn't work,4153,"Billing, Payments & Sales",Support Processes & Friction,Delay,Complaint,Negative,Disappointment,People,Delayed response time and ineffective technical solution,Support Interaction,Medium,High,Delay,0.9,Sales & Product
I want to know the status of my transaction,1,"Liars, frauds, fakes, and irresponsible",4154,"Billing, Payments & Sales",Billing & Payment Issues,Miscommunication,Complaint,Negative,Anger,People,Perceived lack of integrity or transparency in transaction handling,Support Interaction,Critical,Unknown,Trust Loss,0.8,Sales & Product
Question or issue with end of year recap,2,The supporter doesn't know how to use google lens for translation. Asked only questions from google guidelines. Didn't resolve my question,4158,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Disappointment,People,Agent lack of proficiency with internal/external tools and strict adherence to scripts over problem-solving.,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,Totally useless and a waste of my time. I will be cancelling my subscription,4159,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Process,"General failure of the support process to provide a resolution, leading to customer churn.",Support Interaction,Critical,High,Trust Loss,0.85,Support & QA
Non-SUJ identified issues,1,"Dictator rule is going on in YouTube, no explanation and no reason and membership cancelled",4163,Subscriptions & Memberships,Plan Management (Individual),Miscommunication,Complaint,Negative,Anger,Policy,Membership cancelled without clear explanation or justification,Policy Enforcement,Critical,High,Trust Loss,0.9,Sales & Product
I want to ask about family plan abuse,1,I didn't solve the problem.,4165,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,Process,Support failed to provide a resolution to the user's inquiry regarding family plan abuse policies.,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
User sees Ads,1,This has been the very least helpful customer support experience that I’ve ever witnessed across any other platform ever.,4167,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Inadequate support assistance provided when the user reported seeing ads despite having a premium service.,Support Interaction,High,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,1,No solution provided,4168,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,Process,Support interaction concluded without providing a solution to the customer's problem.,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
I want to learn about a Premium feature,1,Did absolutely nothing. Did not even understand the situation and took days to reply every time.,4174,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Lack of agent training and failure to meet response time SLAs,Support Interaction,Medium,High,Delay,0.9,Support & QA
Non-SUJ identified issues,3,"Very clear and quick, but was not able to resolve my issue.",4176,Customer Support Experience,Support Experience Feedback,Other,Feedback,Neutral,Disappointment,Process,Agent communication was clear but lacked the capability or authority to resolve the core issue,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,1,5hthh,4177,General Feedback & Brand,General Feedback,Other,Feedback,Neutral,Other,Unknown,Non-substantive or gibberish input,Unknown,Low,Unknown,Unknown,0.5,Policy & Brand
I want to know the status of my transaction,2,Give priority to emails and complaints from Latin American users,4180,Customer Support Experience,Support Processes & Friction,Other,Suggestion,Negative,Frustration,Policy,Perceived lack of priority or slow response times for Latin American users,Support Response,Medium,Unknown,Inconvenience,0.85,Support & QA
I want to cancel subscription,1,Very fast.,4182,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Positive,Satisfaction,Process,Efficient and fast cancellation workflow,Unknown,Low,Low,Other,0.9,Sales & Product
Question or issue with core / main features,1,did not help at all,4184,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Support interaction failed to provide a resolution or helpful information,Resolution,High,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,They can’t solve my problem,4186,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Support agents unable to provide a solution to the customer's problem,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,My problem is solved.,4189,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Resolution,Low,Unknown,Other,0.85,Sales & Product
Non-SUJ identified issues,1,I’m canceled the subscription because of the advertisement.,4191,Cancellations & Refunds,Cancellations,UX Issue,Complaint,Negative,Disappointment,Product,Presence of advertisements on a paid subscription tier,Product Delivery,Medium,Low,Financial Impact,0.9,Support & QA
I want to cancel subscription,2,They haven't solved my subscription problem.,4192,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,Failure of support staff to provide a definitive resolution to a subscription issue,Support Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,2,How to check purchase limits?,4193,Account Management & Security,Content Availability,UX Issue,Query,Neutral,Confusion,Product,Lack of visibility or clear documentation regarding purchase limits within the UI,Discovery,Low,Medium,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,1,I want a solution to my problem,4196,Subscriptions & Memberships,Policy & Enforcement,Other,Complaint,Negative,Frustration,Unknown,Unspecified problem regarding family plan abuse remains unresolved,Resolution,Medium,Unknown,Inconvenience,0.7,Sales & Product
User sees Ads,2,They did not listen.  And responded with stock FAQ/AI answers without having understood the question.,4197,Customer Support Experience,App Features & Navigation,Miscommunication,Complaint,Negative,Frustration,Process,Over-reliance on canned FAQ/AI responses that failed to address the specific user query,Interaction,Medium,High,Trust Loss,0.9,Support & QA
User sees Ads,1,That's great. I'm wondering if you could offer me a better price for YouTube Premium.,4198,"Billing, Payments & Sales",Plan Management (Individual),Other,Query,Positive,Satisfaction,Policy,Customer seeking better pricing options for premium subscription,N/A,Low,Low,Other,0.85,Sales & Product
Question about package/plan and how to purchase,2,There wasn't a solution to my problem,4199,"Billing, Payments & Sales",Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Failure to provide a definitive solution or clear information during the purchase inquiry,Resolution,Medium,Medium,Inconvenience,0.8,Sales & Product
I want to join or start a family plan,1,"Your support is very very hard to find. There is no phone number to reach out for help. Besides, there is no good solution for my problem. That's meant you do not care about your customers!",4201,Customer Support Experience,Support Processes & Friction,UX Issue,Complaint,Negative,Anger,Process,Lack of direct contact methods and perceived lack of customer care,Access,Medium,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,1,Answer questions that arise during the conversation,4202,Customer Support Experience,Support Experience Feedback,Miscommunication,Suggestion,Neutral,Disappointment,People,Failure to address specific questions during the support interaction,Interaction,Low,Medium,Inconvenience,0.8,Support & QA
Non-SUJ identified issues,1,I am working at Singapore! How do your Google expect me don’t frequently travelling!,4204,Subscriptions & Memberships,Policy & Enforcement,UX Issue,Complaint,Negative,Frustration,Policy,Incompatibility between service location requirements and user travel patterns,Usage,Medium,Medium,Inconvenience,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,The Google customer support that helped me with my YouTube issue was great. YouTube sucks though.,4208,General Feedback & Brand,General Feedback,Other,Feedback,Neutral,Disappointment,Product,General dissatisfaction with the YouTube product despite a positive support interaction.,Product Usage,Low,Low,Trust Loss,0.85,Policy & Brand
Question or issue with core / main features,1,Customer service did not provide me with a detailed report explaining why YouTube was down on all my accounts.,4209,Technical & Playback Issues,Bugs & Technical Errors,Miscommunication,Complaint,Negative,Disappointment,Policy,Support unable or unwilling to provide transparency/reporting on service downtime causes.,Support Interaction,Medium,Medium,Trust Loss,0.9,Sales & Product
Question or issue with end of year recap,5,<<GSP_REDACTED>>,4210,Product Features & Content,App Features & Navigation,Other,Query,Positive,Satisfaction,Product,Unknown,Unknown,Low,Low,Unknown,0.5,Policy & Brand
Form of payment question or issue,1,No solutions for my willingness to PAY you.,4212,"Billing, Payments & Sales",Billing & Payment Issues,UX Issue,Complaint,Negative,Frustration,Technical,System unable to accept or process available payment methods,Transaction,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,Refund please,4213,Cancellations & Refunds,Refunds & Adjustments,Other,Complaint,Negative,Disappointment,Process,Unknown,Resolution,Medium,Medium,Financial Impact,0.8,Support & QA
Non-SUJ identified issues,2,Not only me but many others having the same problems of getting comments deleted and shadow banned have been sending feedback and requests to YouTube without being able to fix the issue. We have read the community guidelines beforehand and reminding us of them is of no use. We are trying to add comments with translation following a request of the YouTube channel owner.,4215,"Policy, Trust & Safety",Trust & Safety,System Failure,Complaint,Negative,Frustration,Technical,Automated moderation systems incorrectly flagging and removing legitimate translated comments despite adherence to guidelines.,Product Usage,Medium,High,Inconvenience,0.9,Policy & Brand
Question or issue with search,1,Very bad 😞,4217,Product Features & Content,App Features & Navigation,Other,Complaint,Negative,Disappointment,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.7,Policy & Brand
Non-SUJ identified issues,1,I would like to speak to someone real and not just an AI or someone copying and pasting answers from a list,4218,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Negative,Frustration,Process,Excessive use of automated responses and canned scripts preventing personalized human interaction.,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,no one actually helped,4222,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Failure to provide actionable assistance or resolution,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,Rude,4224,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,Unprofessional or rude agent conduct,Support Interaction,Medium,Unknown,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,There was no solution offerred,4227,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Process,Failure to provide any actionable solution or resolution during the support contact,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,Didn’t provide me with any solutions or suggestions about my issue,4228,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Process,Support representative failed to offer suggestions or solutions to the customer's problem,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,Still its not resolved,4231,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Lack of follow-through or resolution on existing ticket,Resolution,Medium,High,Inconvenience,0.8,Support & QA
Question about package/plan and how to purchase,1,"Waste ,can't help with anything, why do you even have customer support if they can't help",4233,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,Perceived incompetence or lack of utility in support interaction,Support Interaction,High,High,Trust Loss,0.9,Support & QA
Question or issue with core / main features,1,My problem is not solve,4236,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Frustration,Process,Failure to resolve the customer's primary concern during the support interaction,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Question or issue with podcasts,1,"Watch it, listen to the podcast yourselves, and then we'll talk. Did you hear it?",4237,Product Features & Content,General Feedback,Other,Complaint,Negative,Frustration,Product,Support agent likely failed to verify or listen to the specific content issue reported by the user,Investigation,Medium,Medium,Inconvenience,0.85,Policy & Brand
User sees Ads,1,Very badly,4240,Advertising & Promotions,Ad Experience,Other,Complaint,Negative,Frustration,Unknown,Insufficient detail provided in feedback,Usage,Medium,Unknown,Inconvenience,0.6,Sales & Product
Question or issue with seasonal recap,4,<<GSP_REDACTED>>,4241,Product Features & Content,App Features & Navigation,Other,Query,Neutral,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.4,Policy & Brand
I want to ask about family plan abuse,1,"My wife purchased a family pack 3 days ago, I am not yet able to use it.",4242,Subscriptions & Memberships,Plan Management (Family/Student),Delay,Complaint,Negative,Frustration,Technical,Subscription provisioning delay after purchase,Onboarding,Medium,Medium,Delay,0.9,Sales & Product
I want to know the status of my transaction,1,I have no resolution to my problem,4243,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Disappointment,People,Failure to provide resolution during support interaction,Support,Medium,High,Trust Loss,0.85,Support & QA
Non-SUJ identified issues,2,I was not able to get help and was transferred to someone from YouTube…it wasn’t helpful at all. My problem persists with no resolution in sight.,4248,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Frustration,Process,Ineffective transfer process resulting in no resolution,Resolution,High,High,Delay,0.9,Support & QA
I want to know the status of my transaction,2,A generic solution approach which sounds like reiterating the already known fact.,4249,Customer Support Experience,Support Experience Feedback,UX Issue,Complaint,Negative,Disappointment,Process,Use of generic/scripted responses that do not address specific customer needs,Interaction,Medium,Medium,Inconvenience,0.88,Support & QA
I want to join or start a family plan,1,My problem remains unresolved,4250,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,Process,Failure to provide a final resolution to the customer's inquiry,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Promotions/EFT question or issue,1,They never contacted me and are not interested in knowing if I am satisfied with the service that YouTube offers.,4251,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Disappointment,People,Lack of proactive communication and follow-up from the support team,Engagement,Medium,Medium,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,1,As usual no reply or follow up,4252,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Systemic failure to reply or follow up on open tickets,Response,Medium,Medium,Inconvenience,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Your people are stupid and unethical. So is your company. Fuck you all.,4256,Cancellations & Refunds,Cancellations,Other,Complaint,Negative,Anger,People,Perceived unethical behavior or poor agent interaction during refund process,Support Interaction,Critical,Unknown,Trust Loss,0.9,Support & QA
Question about package/plan and how to purchase,1,totally incompetent,4257,"Billing, Payments & Sales",Billing & Payment Issues,Miscommunication,Complaint,Negative,Disappointment,People,Agent failed to provide helpful or accurate information regarding plan purchase,Support Interaction,Medium,Unknown,Trust Loss,0.85,Sales & Product
Billing date & schedule,1,the solution provided was not fair,4261,"Billing, Payments & Sales",Billing & Payment Issues,Other,Complaint,Negative,Disappointment,Policy,Perceived unfairness in billing resolution policy,Resolution,Medium,Medium,Trust Loss,0.9,Sales & Product
I want to know the status of my transaction,1,Can’t even look up my information and then can’t even transfer,4266,Account Management & Security,Account Access & Recovery,System Failure,Complaint,Negative,Frustration,Technical,System inability to retrieve user information or process transfers,Platform Usage,High,High,Inconvenience,0.9,Policy & Brand
Question about package/plan and how to purchase,1,My issue was not resolved at all!,4269,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Support agent failed to provide a resolution to the customer's inquiry,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,It's very difficult to get in touch and they didn't give me any solution.,4274,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Frustration,Process,Difficulty in contacting support and failure to provide a resolution,Support Interaction,High,High,Inconvenience,0.9,Support & QA
Question or issue with shorts,1,The support is useless,4281,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Perceived lack of value or assistance from support interaction,Interaction,Medium,High,Trust Loss,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,I dont get any customer support,4282,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Frustration,Process,Inability to access or reach customer support channels,Access,High,High,Financial Impact,0.85,Support & QA
I want to know the status of my transaction,5,I thought they were really nice but that charge kinda freaks me out! 🤙🙏🏽,4285,"Billing, Payments & Sales",Billing & Payment Issues,Other,Feedback,Neutral,Confusion,Product,Lack of clarity regarding transaction details or billing notifications,Post-Transaction,Medium,Low,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,It wasn't resolved,4288,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Process,Failure to provide a definitive solution to the customer's problem,Resolution,High,High,Trust Loss,0.85,Support & QA
Non-SUJ identified issues,1,False advertising,4290,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Anger,Policy,Discrepancy between advertised services and actual product delivery,Pre-purchase,High,Low,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,1,I did not receive assistance.,4292,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Disappointment,People,Failure to provide any assistance or response to the customer,Support Interaction,High,Medium,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,2,Members need to be granted certain privileges by the company that customers require.,4294,Subscriptions & Memberships,Premium Benefits & Access,UX Issue,Suggestion,Neutral,Other,Policy,Current plan privileges do not meet customer expectations or requirements,Product Offering,Medium,Low,Inconvenience,0.85,Sales & Product
I want to join or start a family plan,1,"Terrible service, they need to change the staff.",4295,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Anger,People,Poor staff interaction and perceived incompetence,Support Interaction,Medium,Unknown,Inconvenience,0.9,Sales & Product
User sees Ads,1,Still my problem was not cleared,4299,Advertising & Promotions,Ad Experience,System Failure,Complaint,Negative,Frustration,Technical,Unresolved technical issue causing ads to persist for the user,Support Interaction,Medium,Medium,Inconvenience,0.9,Sales & Product
Free trial question or issue,1,Total double speak.  George Orwell would have been pleased,4302,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Frustration,Policy,Deceptive or confusing language used regarding trial terms,Support Interaction,Medium,Medium,Trust Loss,0.9,Sales & Product
I want to know the status of my transaction,1,Their service is a scam.,4303,"Billing, Payments & Sales",Support Processes & Friction,Other,Complaint,Negative,Anger,Technical,Perceived lack of value or fraudulent service delivery,Post-Transaction,Critical,Unknown,Trust Loss,0.85,Sales & Product
Promotions/EFT question or issue,1,your agent was direct and professional. I have no issues with her.,4307,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Professional and direct agent behavior,Interaction,Low,Low,Other,0.9,Support & QA
Non-SUJ identified issues,1,didn't provide any solution,4311,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Failure to provide a resolution or actionable next steps,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),7,<<GSP_REDACTED>>,4314,General Feedback & Brand,General Feedback,Unknown,Unknown,Neutral,Other,Unknown,Data Redacted,Unknown,Low,Unknown,Unknown,0.1,Policy & Brand
Form of payment question or issue,1,no help me solve problem,4315,"Billing, Payments & Sales",Support Processes & Friction,Process,Complaint,Negative,Frustration,People,Failure to provide a solution for payment-related inquiry,Resolution,High,High,Inconvenience,0.9,Sales & Product
I want to join or start a family plan,2,Unable to resolve the issue,4316,Subscriptions & Memberships,Plan Management (Family/Student),Process,Complaint,Negative,Disappointment,Process,Support inability to resolve family plan enrollment issues,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Question or issue with end of year recap,2,"Judi was no fun, i guess she did what she could but i think shes a bot",4318,Product Features & Content,App Features & Navigation,Miscommunication,Feedback,Negative,Disappointment,People,Perceived lack of empathy and robotic interaction from support agent,Interaction,Low,Medium,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,1,My issue wasn’t solved.,4323,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,Process,Support interaction concluded without resolving the customer's primary issue,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,No response,4324,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Complete lack of response from the support team,Initial Contact,Medium,Medium,Delay,0.9,Support & QA
